关键控制系统	critical control system
检查	check
牵引变电所	全并联接线牵引变电所
过渡	transition
充气管	冷阴极闸流管
地热井	生产井
房间空气调节器	空调器
主绕组	运行绕组
主绕组	工作绕组
检修用气	厂用气
被控对象	调节对象
压水堆安全注射系统	应急堆芯冷却系统
外部大气不相通者	密封式
立方晶系	–SiC
预知性维修	predictive maintenance
单斜蓄水构造	自流斜地
1毫巴	mbar
再燃烧燃料	二次燃料
阴极射线示波器	电子示波器
代理型	agency
动态优先级划分	dynamic priority coding
轴流转桨式水轮机	卡普兰水轮机
细粉分离器	旋风分离器
圆柱形燃料密实体	燃料组件
工作接地	系统接地
双调谐滤波器	双通带滤波器
发电机电压配电装置室	发电机电压开关室
电磁波耦合	辐射耦合
涡轮式	轴向引入式
微增率；λ	功率平衡乘子
框图	结构图
框图	方块图
框图	方框图
辅助支承	防断支承
非受限	informal
升压站	高压配电装置
UCE	sat
输电主干线	trunk transmission lines
运行监测	在线监测
运行监测	带电监测
调节阀门快控	fast valving
熔渣台	熔渣池
负荷分布预测	空间负荷预测
晶体管电压表	电子电压表
直流发电机	升压发电机
水轮发电机	凸极发电机
水轮发电机	灯泡式水轮发电机
扎伊尔河	刚果河
期望值EENG	expected energy not generated
布雷顿循环	等压加热燃气轮机循环
电子管	真空管
模拟机	全尺寸
数据通信网络	数据高速公路
极小值原理	极大值原理
聚变核能燃料资源	热核材料
定单需求	billing demand
机械加工领域内	轮廓控制
实时电力交易市场	平衡市场
场效应半导体器件	单极型半导体器件
燃料承载器	燃料篮
多个三相桥式换流电路	6脉动换流器
UDP	user datagram protocol
输变电设备状态检修	预知性维修
保守模型	评价模型
热力产品成本	售热成本
面向智能体	agent
绿色照明	green lights
齿轮箱	增速箱
汛前截流	迎水期截流
调相器	phase modulator
水电站年运行费	年经营成本
阳极	燃料极
轴流式风扇	螺旋桨式风扇
电力牵引AT供电方式	自耦变压器供电方式
岩体	岩塞
泊松比	横向变形系数
边界层	附面层
压力检测	计示压力
职业安全卫生	职业安全健康
职业安全卫生	劳动保护
职业安全卫生	职业健康安全
职业安全卫生	劳动安全卫生
职业安全卫生	职业安全卫生
重复降低出力	concurrent derating
需要进行预鉴定试验	长期高场强热循环试验
粒子束爆炸	辐射爆炸
空化	空穴
空化	空泡
发电能源构成	电源结构
强迫停运	forced outage
模拟量控制系统	闭环控制系统
模拟量控制系统	自动调节系统
他行业中	变换
他行业中	变流
系数	capacity factor
系数	service factor
系数	出力系数
压水堆余热排出系统	停堆冷却系统
挤包绝缘电缆	橡塑电缆
挤包绝缘电缆	固体挤压聚合电缆
各种嵌入式系统	embedded system
励磁功率单元	exciter
阴极	永久性阴极
阴极	空气极
液体渗铝法	热浸法
过热蒸汽温度控制系统	新蒸汽温度控制系统
过热蒸汽温度控制系统	主蒸汽温度控制系统
水下爆破	水下扩大炮孔法
水下爆破	水下表面爆破法
环网单元	环网站
于机构内部	on premise
流动密封阀	U形阀
横波	剪切波
横波	S波
固定床	移动床
功率二极管	power diode
小修停运	minor overhaul outage
计算机	电脑
带式制动器	皮带抱闸
UGS	off
排粉风机等	电站风机
压水堆屏蔽式冷却剂循环泵	主泵
磁电系测量机构	表头
强制对流式电暖器	暖风机
飞锤	撞击子
半绝缘变压器	分级绝缘变压器
液流蓄电池	flow battery
吸热器	receiver
需用率	需要系数
低压绕组	分裂绕组
绝缘栅双极型晶体管	绝缘门极双极型晶体管
氙气闪光灯	脉冲氙灯
调速范围	调速比
汛后截流	落水期截流
通用CAD软件	CAD支撑软件
障安全系统	fail safe system
吉赫兹横电磁波室	GTEM室
遥调	远程调节
直流双比电桥	开尔文电桥
直流双比电桥	汤姆逊电桥
层式燃烧	火床燃烧
光伏组件	太阳能电池板
光伏组件	光伏方阵
光伏组件	太阳能电池组件
粉煤灰	飞灰
MEDred	reduced mediator
复合控制系统	开环－闭环控制系统
